UKER;;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
31-Dec;DPK; 560 ; 425 ; 672 ; 287 ; 370 ; 508 ; 402 ; 576 ; 550 ; 1.381 ; 548 ; 629 ; 796 ; 335 ; 328 ; 442 ; 491 ; 1.334 ; 657 ; 434 ; 336 ; 834 ; 1.231 ; 1.339 ; 775 ; 1.031 ; 1.045 ; 1.122 ; 931 ; 1.642 
01-Jan;DPK; 556 ; 399 ; 665 ; 280 ; 366 ; 509 ; 401 ; 574 ; 535 ; 1.381 ; 473 ; 623 ; 791 ; 343 ; 328 ; 440 ; 503 ; 1.693 ; 640 ; 429 ; 327 ; 814 ; 1.229 ; 1.298 ; 756 ; 1.017 ; 1.014 ; 1.104 ; 815 ; 1.681 
02-Jan;DPK; 556 ; 399 ; 665 ; 280 ; 366 ; 509 ; 401 ; 574 ; 535 ; 1.381 ; 473 ; 623 ; 791 ; 343 ; 328 ; 440 ; 503 ; 1.693 ; 640 ; 429 ; 327 ; 814 ; 1.229 ; 1.298 ; 756 ; 1.017 ; 1.014 ; 1.104 ; 815 ; 1.681 
03-Jan;DPK; 553 ; 396 ; 661 ; 274 ; 365 ; 506 ; 399 ; 575 ; 534 ; 1.380 ; 469 ; 622 ; 786 ; 339 ; 324 ; 438 ; 494 ; 1.683 ; 636 ; 429 ; 325 ; 813 ; 1.223 ; 1.299 ; 753 ; 1.017 ; 1.021 ; 1.103 ; 811 ; 1.676 
04-Jan;DPK; 551 ; 395 ; 660 ; 274 ; 364 ; 503 ; 398 ; 574 ; 536 ; 1.378 ; 467 ; 618 ; 784 ; 337 ; 323 ; 438 ; 494 ; 1.676 ; 635 ; 425 ; 325 ; 815 ; 1.226 ; 1.300 ; 752 ; 1.006 ; 1.025 ; 1.102 ; 813 ; 1.674 
05-Jan;DPK; 552 ; 392 ; 664 ; 275 ; 359 ; 499 ; 398 ; 576 ; 536 ; 1.368 ; 467 ; 599 ; 756 ; 323 ; 328 ; 435 ; 494 ; 1.267 ; 606 ; 414 ; 326 ; 812 ; 1.222 ; 1.228 ; 751 ; 991 ; 1.022 ; 1.053 ; 660 ; 1.660 
06-Jan;DPK; 557 ; 411 ; 640 ; 271 ; 360 ; 497 ; 394 ; 578 ; 546 ; 1.369 ; 460 ; 611 ; 752 ; 319 ; 320 ; 429 ; 492 ; 1.259 ; 599 ; 409 ; 324 ; 911 ; 1.222 ; 1.374 ; 750 ; 988 ; 1.032 ; 1.057 ; 628 ; 1.652 
07-Jan;DPK; 551 ; 409 ; 641 ; 282 ; 360 ; 494 ; 391 ; 570 ; 530 ; 1.376 ; 459 ; 607 ; 747 ; 316 ; 321 ; 426 ; 485 ; 1.291 ; 583 ; 421 ; 324 ; 881 ; 1.216 ; 1.375 ; 743 ; 956 ; 1.026 ; 1.054 ; 621 ; 1.602 
08-Jan;DPK; 549 ; 417 ; 634 ; 286 ; 376 ; 496 ; 393 ; 563 ; 533 ; 1.378 ; 456 ; 608 ; 751 ; 320 ; 324 ; 424 ; 487 ; 1.283 ; 581 ; 414 ; 323 ; 859 ; 1.202 ; 1.356 ; 741 ; 963 ; 1.023 ; 1.024 ; 613 ; 1.619 
09-Jan;DPK; 542 ; 417 ; 634 ; 295 ; 364 ; 495 ; 390 ; 564 ; 525 ; 1.367 ; 454 ; 616 ; 754 ; 316 ; 325 ; 416 ; 489 ; 1.277 ; 614 ; 416 ; 323 ; 841 ; 1.198 ; 1.346 ; 727 ; 957 ; 992 ; 1.017 ; 609 ; 1.606 
