UKER;;KC Purwakarta;KC Indramayu;KC Subang;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Kartini;KC Kuningan;KC Cirebon Gunung Jati;KC Garut;KC Tasikmalaya;KC Ciamis;KC Singaparna;KC Banjar;KC Sukabumi;KC Cianjur;KC Majalaya;KC Cimahi;KC Cibadak;KC Soreang;KC Bandung AA;KC Bandung Dewi Sartika;KC Bandung Naripan;KC Bandung A.H. Nasution;KC Bandung Martadinata;KC Bandung Kopo;KC Bandung Dago;KC Bandung Sukarno Hatta;KC Bandung Setiabudi
01-Dec;DEPO; 277 ; 247 ; 171 ; 134 ; 99 ; 390 ; 207 ; 587 ; 248 ; 221 ; 316 ; 148 ; 136 ; 182 ; 152 ; 186 ; 252 ; 204 ; 651 ; 164 ; 205 ; 356 ; 238 ; 328 ; 560 ; 261 ; 516 ; 365 ; 339 ; 375
02-Dec;DEPO; 276 ; 246 ; 172 ; 134 ; 99 ; 391 ; 207 ; 584 ; 248 ; 221 ; 316 ; 147 ; 136 ; 182 ; 152 ; 186 ; 253 ; 205 ; 646 ; 162 ; 205 ; 356 ; 238 ; 327 ; 560 ; 261 ; 267 ; 365 ; 335 ; 376
03-Dec;DEPO; 275 ; 244 ; 172 ; 134 ; 98 ; 391 ; 207 ; 584 ; 248 ; 221 ; 316 ; 147 ; 136 ; 182 ; 153 ; 186 ; 253 ; 206 ; 645 ; 162 ; 205 ; 356 ; 238 ; 327 ; 559 ; 261 ; 617 ; 365 ; 334 ; 373
04-Dec;DEPO; 275 ; 243 ; 172 ; 134 ; 98 ; 390 ; 207 ; 584 ; 248 ; 224 ; 316 ; 147 ; 136 ; 182 ; 152 ; 183 ; 253 ; 207 ; 640 ; 163 ; 205 ; 357 ; 238 ; 331 ; 559 ; 261 ; 617 ; 365 ; 335 ; 373
05-Dec;DEPO; 275 ; 244 ; 172 ; 135 ; 98 ; 391 ; 208 ; 585 ; 248 ; 225 ; 316 ; 144 ; 136 ; 182 ; 150 ; 180 ; 255 ; 207 ; 641 ; 163 ; 206 ; 357 ; 238 ; 331 ; 559 ; 261 ; 616 ; 350 ; 335 ; 371
06-Dec;DEPO; 275 ; 243 ; 172 ; 135 ; 98 ; 391 ; 208 ; 585 ; 248 ; 225 ; 316 ; 144 ; 136 ; 181 ; 150 ; 180 ; 255 ; 207 ; 641 ; 163 ; 206 ; 357 ; 238 ; 331 ; 560 ; 261 ; 616 ; 350 ; 335 ; 371
07-Dec;DEPO; 275 ; 243 ; 172 ; 135 ; 98 ; 391 ; 208 ; 585 ; 248 ; 225 ; 316 ; 144 ; 136 ; 181 ; 150 ; 180 ; 255 ; 207 ; 641 ; 163 ; 206 ; 358 ; 238 ; 331 ; 560 ; 261 ; 616 ; 350 ; 335 ; 371
08-Dec;DEPO; 275 ; 243 ; 171 ; 135 ; 98 ; 391 ; 209 ; 585 ; 248 ; 223 ; 317 ; 144 ; 137 ; 181 ; 149 ; 180 ; 255 ; 207 ; 639 ; 162 ; 204 ; 356 ; 232 ; 331 ; 560 ; 261 ; 615 ; 349 ; 332 ; 370
09-Dec;DEPO; 274 ; 243 ; 172 ; 135 ; 98 ; 391 ; 208 ; 584 ; 249 ; 223 ; 316 ; 145 ; 136 ; 181 ; 149 ; 179 ; 256 ; 207 ; 641 ; 162 ; 204 ; 356 ; 233 ; 336 ; 560 ; 260 ; 616 ; 349 ; 332 ; 371
10-Dec;DEPO; 274 ; 244 ; 171 ; 135 ; 98 ; 391 ; 208 ; 586 ; 249 ; 223 ; 316 ; 144 ; 136 ; 181 ; 149 ; 179 ; 256 ; 207 ; 641 ; 162 ; 204 ; 356 ; 223 ; 349 ; 560 ; 260 ; 616 ; 349 ; 332 ; 373
