UKER;;KC Purwakarta;KC Indramayu;KC Subang;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Kartini;KC Kuningan;KC Cirebon Gunung Jati;KC Garut;KC Tasikmalaya;KC Ciamis;KC Singaparna;KC Banjar;KC Sukabumi;KC Cianjur;KC Majalaya;KC Cimahi;KC Cibadak;KC Soreang;KC Bandung AA;KC Bandung Dewi Sartika;KC Bandung Naripan;KC Bandung A.H. Nasution;KC Bandung Martadinata;KC Bandung Kopo;KC Bandung Dago;KC Bandung Sukarno Hatta;KC Bandung Setiabudi
01-Dec;GIRO; 137 ; 68 ; 55 ; 38 ; 61 ; 116 ; 45 ; 217 ; 66 ; 82 ; 140 ; 106 ; 76 ; 59 ; 61 ; 83 ; 53 ; 27 ; 115 ; 135 ; 82 ; 299 ; 326 ; 243 ; 144 ; 102 ; 153 ; 145 ; 217 ; 100
02-Dec;GIRO; 139 ; 66 ; 51 ; 34 ; 57 ; 112 ; 46 ; 218 ; 73 ; 76 ; 137 ; 102 ; 75 ; 58 ; 61 ; 79 ; 49 ; 25 ; 99 ; 126 ; 77 ; 293 ; 287 ; 241 ; 147 ; 102 ; 103 ; 142 ; 215 ; 97
03-Dec;GIRO; 139 ; 72 ; 53 ; 32 ; 58 ; 112 ; 45 ; 232 ; 64 ; 86 ; 138 ; 107 ; 72 ; 58 ; 64 ; 80 ; 47 ; 25 ; 102 ; 131 ; 83 ; 306 ; 275 ; 250 ; 144 ; 104 ; 112 ; 143 ; 200 ; 97
04-Dec;GIRO; 136 ; 70 ; 73 ; 31 ; 61 ; 112 ; 44 ; 230 ; 63 ; 83 ; 141 ; 109 ; 65 ; 57 ; 56 ; 82 ; 48 ; 26 ; 96 ; 137 ; 75 ; 300 ; 276 ; 253 ; 135 ; 97 ; 113 ; 142 ; 209 ; 105
05-Dec;GIRO; 136 ; 69 ; 57 ; 30 ; 58 ; 110 ; 43 ; 228 ; 61 ; 82 ; 94 ; 114 ; 64 ; 57 ; 56 ; 82 ; 55 ; 27 ; 89 ; 127 ; 74 ; 304 ; 275 ; 252 ; 129 ; 101 ; 106 ; 144 ; 188 ; 95
06-Dec;GIRO; 135 ; 70 ; 58 ; 31 ; 57 ; 110 ; 44 ; 230 ; 61 ; 82 ; 96 ; 115 ; 62 ; 58 ; 56 ; 84 ; 55 ; 28 ; 90 ; 127 ; 74 ; 302 ; 278 ; 249 ; 130 ; 98 ; 116 ; 145 ; 193 ; 96
07-Dec;GIRO; 136 ; 71 ; 58 ; 31 ; 57 ; 112 ; 44 ; 232 ; 62 ; 83 ; 96 ; 115 ; 62 ; 58 ; 57 ; 86 ; 54 ; 27 ; 92 ; 127 ; 75 ; 302 ; 280 ; 255 ; 128 ; 101 ; 124 ; 146 ; 198 ; 96
08-Dec;GIRO; 142 ; 70 ; 52 ; 32 ; 78 ; 113 ; 45 ; 244 ; 63 ; 83 ; 94 ; 107 ; 63 ; 60 ; 59 ; 92 ; 49 ; 29 ; 96 ; 120 ; 74 ; 300 ; 275 ; 259 ; 140 ; 99 ; 131 ; 148 ; 157 ; 101
09-Dec;GIRO; 140 ; 73 ; 50 ; 31 ; 80 ; 113 ; 45 ; 246 ; 61 ; 81 ; 102 ; 111 ; 63 ; 58 ; 60 ; 91 ; 49 ; 28 ; 97 ; 119 ; 74 ; 299 ; 282 ; 256 ; 141 ; 101 ; 103 ; 147 ; 155 ; 102
10-Dec;GIRO; 135 ; 78 ; 46 ; 32 ; 67 ; 113 ; 44 ; 237 ; 56 ; 78 ; 97 ; 111 ; 61 ; 60 ; 63 ; 90 ; 49 ; 28 ; 96 ; 113 ; 71 ; 302 ; 310 ; 246 ; 134 ; 99 ; 97 ; 138 ; 137 ; 102
11-Dec;GIRO; 134 ; 75 ; 47 ; 33 ; 65 ; 112 ; 47 ; 248 ; 56 ; 76 ; 97 ; 111 ; 57 ; 58 ; 56 ; 85 ; 49 ; 27 ; 97 ; 118 ; 72 ; 303 ; 278 ; 250 ; 142 ; 99 ; 98 ; 144 ; 136 ; 103
12-Dec;GIRO; 136 ; 73 ; 47 ; 31 ; 64 ; 115 ; 47 ; 252 ; 63 ; 76 ; 104 ; 114 ; 57 ; 58 ; 58 ; 82 ; 49 ; 28 ; 96 ; 118 ; 68 ; 305 ; 273 ; 255 ; 145 ; 98 ; 100 ; 143 ; 136 ; 102
13-Dec;GIRO; 136 ; 73 ; 46 ; 30 ; 64 ; 115 ; 47 ; 251 ; 64 ; 77 ; 103 ; 115 ; 58 ; 58 ; 59 ; 83 ; 49 ; 28 ; 96 ; 118 ; 68 ; 305 ; 276 ; 253 ; 147 ; 99 ; 112 ; 143 ; 139 ; 102
14-Dec;GIRO; 136 ; 74 ; 46 ; 30 ; 65 ; 116 ; 48 ; 253 ; 64 ; 78 ; 103 ; 117 ; 58 ; 59 ; 59 ; 85 ; 50 ; 28 ; 96 ; 119 ; 69 ; 308 ; 278 ; 252 ; 148 ; 102 ; 121 ; 145 ; 144 ; 103
15-Dec;GIRO; 142 ; 74 ; 48 ; 31 ; 62 ; 114 ; 85 ; 235 ; 60 ; 79 ; 133 ; 102 ; 63 ; 56 ; 62 ; 83 ; 51 ; 24 ; 99 ; 116 ; 75 ; 304 ; 288 ; 249 ; 141 ; 110 ; 128 ; 147 ; 138 ; 105
16-Dec;GIRO; 145 ; 73 ; 47 ; 30 ; 55 ; 64 ; 85 ; 243 ; 60 ; 88 ; 131 ; 105 ; 58 ; 54 ; 61 ; 84 ; 50 ; 25 ; 101 ; 120 ; 76 ; 306 ; 273 ; 260 ; 140 ; 107 ; 117 ; 150 ; 139 ; 107
17-Dec;GIRO; 137 ; 77 ; 50 ; 32 ; 54 ; 65 ; 84 ; 225 ; 56 ; 89 ; 129 ; 102 ; 59 ; 49 ; 61 ; 84 ; 49 ; 24 ; 100 ; 121 ; 72 ; 310 ; 270 ; 259 ; 133 ; 102 ; 113 ; 151 ; 138 ; 114
18-Dec;GIRO; 140 ; 76 ; 57 ; 38 ; 53 ; 65 ; 86 ; 224 ; 60 ; 89 ; 133 ; 103 ; 63 ; 49 ; 58 ; 84 ; 52 ; 23 ; 101 ; 126 ; 67 ; 300 ; 271 ; 265 ; 127 ; 123 ; 115 ; 152 ; 143 ; 113
19-Dec;GIRO; 141 ; 75 ; 51 ; 38 ; 54 ; 65 ; 86 ; 226 ; 60 ; 90 ; 131 ; 108 ; 61 ; 50 ; 60 ; 84 ; 49 ; 33 ; 112 ; 121 ; 68 ; 297 ; 272 ; 272 ; 134 ; 119 ; 106 ; 158 ; 157 ; 105
20-Dec;GIRO; 141 ; 74 ; 51 ; 38 ; 52 ; 64 ; 87 ; 225 ; 61 ; 89 ; 130 ; 109 ; 60 ; 50 ; 60 ; 84 ; 49 ; 34 ; 112 ; 121 ; 68 ; 303 ; 276 ; 270 ; 135 ; 128 ; 116 ; 159 ; 165 ; 106
21-Dec;GIRO; 141 ; 76 ; 52 ; 38 ; 52 ; 66 ; 87 ; 227 ; 61 ; 90 ; 131 ; 110 ; 59 ; 50 ; 60 ; 86 ; 49 ; 35 ; 111 ; 121 ; 68 ; 301 ; 278 ; 266 ; 138 ; 134 ; 124 ; 159 ; 169 ; 106
22-Dec;GIRO; 148 ; 79 ; 50 ; 31 ; 71 ; 65 ; 87 ; 232 ; 63 ; 88 ; 130 ; 100 ; 54 ; 48 ; 59 ; 87 ; 52 ; 34 ; 103 ; 104 ; 70 ; 287 ; 286 ; 264 ; 141 ; 121 ; 140 ; 152 ; 155 ; 107
23-Dec;GIRO; 152 ; 78 ; 51 ; 28 ; 61 ; 69 ; 86 ; 237 ; 59 ; 91 ; 97 ; 105 ; 52 ; 45 ; 56 ; 86 ; 57 ; 24 ; 103 ; 102 ; 73 ; 287 ; 273 ; 250 ; 141 ; 108 ; 112 ; 162 ; 151 ; 110
24-Dec;GIRO; 160 ; 87 ; 55 ; 30 ; 62 ; 88 ; 86 ; 236 ; 59 ; 88 ; 98 ; 109 ; 52 ; 47 ; 60 ; 84 ; 63 ; 22 ; 100 ; 99 ; 74 ; 324 ; 310 ; 252 ; 144 ; 114 ; 112 ; 167 ; 158 ; 103
25-Dec;GIRO; 159 ; 89 ; 54 ; 29 ; 62 ; 88 ; 87 ; 237 ; 59 ; 89 ; 100 ; 111 ; 51 ; 46 ; 58 ; 85 ; 59 ; 23 ; 99 ; 100 ; 72 ; 324 ; 316 ; 251 ; 147 ; 116 ; 124 ; 176 ; 158 ; 104
26-Dec;GIRO; 157 ; 93 ; 54 ; 30 ; 60 ; 88 ; 87 ; 235 ; 59 ; 89 ; 99 ; 110 ; 51 ; 47 ; 59 ; 87 ; 58 ; 22 ; 102 ; 100 ; 72 ; 317 ; 321 ; 249 ; 152 ; 119 ; 133 ; 176 ; 161 ; 103
27-Dec;GIRO; 158 ; 93 ; 55 ; 30 ; 60 ; 88 ; 89 ; 237 ; 60 ; 89 ; 98 ; 111 ; 53 ; 47 ; 59 ; 89 ; 58 ; 23 ; 103 ; 99 ; 73 ; 321 ; 324 ; 249 ; 152 ; 120 ; 140 ; 176 ; 164 ; 103
28-Dec;GIRO; 158 ; 93 ; 55 ; 30 ; 61 ; 90 ; 88 ; 238 ; 61 ; 90 ; 98 ; 111 ; 52 ; 48 ; 60 ; 90 ; 60 ; 24 ; 102 ; 101 ; 73 ; 316 ; 326 ; 244 ; 152 ; 123 ; 148 ; 177 ; 166 ; 104
29-Dec;GIRO; 164 ; 93 ; 52 ; 30 ; 59 ; 79 ; 97 ; 249 ; 60 ; 92 ; 98 ; 100 ; 54 ; 51 ; 66 ; 82 ; 61 ; 22 ; 112 ; 95 ; 74 ; 320 ; 304 ; 272 ; 158 ; 118 ; 108 ; 186 ; 140 ; 105
30-Dec;GIRO; 169 ; 104 ; 65 ; 30 ; 69 ; 66 ; 97 ; 234 ; 64 ; 90 ; 136 ; 112 ; 54 ; 51 ; 66 ; 85 ; 59 ; 20 ; 106 ; 95 ; 71 ; 291 ; 322 ; 282 ; 155 ; 123 ; 114 ; 179 ; 146 ; 100
31-Dec;GIRO; 169 ; 100 ; 63 ; 36 ; 66 ; 64 ; 99 ; 220 ; 82 ; 103 ; 160 ; 116 ; 83 ; 123 ; 60 ; 94 ; 69 ; 19 ; 126 ; 97 ; 68 ; 268 ; 361 ; 292 ; 145 ; 227 ; 119 ; 184 ; 156 ; 109
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
